Title,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),World Wide Sales (in $),Running Time,License
Thor,2011,Paramount Pictures,150000000,65723338,181030624,268295994,449326618,1 hr 55 min,PG-13
Pearl Harbor,2001,Walt Disney Studios Motion Pictures,140000000,59078912,198542554,250678391,449220945,3 hr 3 min,PG-13
Tarzan,1999,Walt Disney Studios Motion Pictures,130000000,34221968,171091819,277100000,448191819,1 hr 28 min,G
Men in Black II,2002,Sony Pictures Entertainment (SPE),140000000,52148751,193735288,251400000,445135288,1 hr 28 min,PG-13
The Bourne Ultimatum,2007,Universal Pictures,110000000,69283690,227471070,216628965,444100035,1 hr 55 min,PG-13
The Mummy Returns,2001,Universal Pictures,98000000,68139035,202019785,241261119,443280904,2 hr 10 min,PG-13
Alvin and the Chipmunks: The Squeakquel,2009,Twentieth Century Fox,75000000,48875415,219614612,223525393,443140005,1 hr 28 min,PG
Les Misérables,2012,Universal Pictures,61000000,27281735,148809770,293489539,442299309,2 hr 38 min,PG-13
The Exorcist,1973,Warner Bros.,December 26 1973 (Domestic),11000000,233005644,136017945,441306145,2 hr 38 min,PG-13
Mrs. Doubtfire,1993,Twentieth Century Fox,25000000,20468847,219195243,222090952,441286195,2 hr 5 min,PG-13
Terminator Genisys,2015,Paramount Pictures,155000000,27018486,89760956,350842581,440603537,2 hr 6 min,PG-13
Warcraft,2016,Universal Pictures,160000000,24166110,47365290,391683624,439048914,2 hr 3 min,PG-13
Transformers: Rise of the Beasts,2023,Paramount Pictures,June 7 2023 (EMEA APAC),61045464,157066392,281900000,438966392,2 hr 3 min,PG-13
A Star Is Born,2018,Warner Bros.,36000000,42908051,215333122,220900000,436233122,2 hr 16 min,R
The Greatest Showman,2017,Twentieth Century Fox,84000000,8805843,174340174,261392355,435732529,1 hr 45 min,PG
Terminator 3: Rise of the Machines,2003,Warner Bros.,200000000,44041440,150371112,283000000,433371112,1 hr 49 min,R
Shang-Chi and the Legend of the Ten Rings,2021,Walt Disney Studios Motion Pictures,September 1 2021 (EMEA APAC),75388688,224543292,207700000,432243292,1 hr 49 min,R
Die Another Day,2002,Metro-Goldwyn-Mayer (MGM),142000000,47072040,160942139,271028977,431971116,2 hr 13 min,PG-13
The Secret Life of Pets 2,2019,Universal Pictures,80000000,46652680,158874395,272184209,431058604,1 hr 26 min,PG
Cast Away,2000,Twentieth Century Fox,90000000,28883406,233632142,196000000,429632142,2 hr 23 min,PG-13
Rampage,2018,Warner Bros.,120000000,35753093,101028233,327000000,428028233,1 hr 47 min,PG-13
The Matrix Revolutions,2003,Warner Bros.,150000000,48475154,139313948,288030377,427344325,2 hr 9 min,R
The Intouchables,2011,The Weinstein Company,November 2 2011 (EMEA),103507,10198820,416389690,426588510,2 hr 9 min,R
John Wick: Chapter 4,2023,Lionsgate,March 22 2023 (11 markets),73817950,187131806,239400091,426531897,2 hr 9 min,R
Bad Boys for Life,2020,Sony Pictures Entertainment (SPE),90000000,62504105,206305244,220200000,426505244,2 hr 4 min,R
Django Unchained,2012,The Weinstein Company,100000000,30122888,162805434,263268939,426074373,2 hr 45 min,R
Beauty and the Beast,1991,Walt Disney Studios Motion Pictures,25000000,162146,218967620,186043788,424967620,1 hr 24 min,NA
Dances with Wolves,1990,Orion Pictures,22000000,598257,184208848,240000000,424208848,3 hr 1 min,NA
"My People, My Homeland",2020,"October 1, 2020 (China)",22000000,2 hr 33 min,422390820,422390820,424208848,3 hr 1 min,NA
The Chronicles of Narnia: Prince Caspian,2008,Walt Disney Studios Motion Pictures,225000000,55034805,141621490,278044078,419665568,2 hr 30 min,PG
Sex and the City,2008,Warner Bros.,65000000,57038404,152647258,266118261,418765519,2 hr 25 min,R
The Captain,2019,Well Go USA Entertainment,September 30 2019 (China),324769,706572,416575449,417282021,2 hr 25 min,R
The Mummy,1999,Universal Pictures,80000000,43369635,155385488,260547918,415933406,2 hr 4 min,PG-13
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Twentieth Century Fox,155000000,24005069,104386950,311299267,415686217,1 hr 53 min,PG
Jason Bourne,2016,Universal Pictures,120000000,59215365,162434410,253050504,415484914,2 hr 3 min,PG-13
The Wolverine,2013,Twentieth Century Fox,120000000,53113752,132556852,282271394,414828246,2 hr 6 min,PG-13
Kingsman: The Secret Service,2014,Twentieth Century Fox,81000000,36206331,128261724,286089822,414351546,2 hr 9 min,R
Night at the Museum: Battle of the Smithsonian,2009,Twentieth Century Fox,150000000,54173286,177243721,235862449,413106170,1 hr 45 min,PG
Batman,1989,Warner Bros.,35000000,40489746,251409241,160160000,411569241,2 hr 6 min,NA
The Bodyguard,1992,Warner Bros.,November 25 1992 (Domestic),16611793,122046449,289000000,411046449,2 hr 6 min,NA
Pacific Rim,2013,Warner Bros.,190000000,37285325,101802906,309200000,411002906,2 hr 11 min,PG-13
Kingsman: The Golden Circle,2017,Twentieth Century Fox,104000000,39023010,100234838,310667824,410902662,2 hr 21 min,R
The Mummy,2017,Universal Pictures,125000000,31688375,80227895,329003712,409231607,1 hr 51 min,PG-13
Ice Age: Collision Course,2016,Twentieth Century Fox,105000000,21373064,64063008,344691967,408754975,1 hr 34 min,PG
Twilight,2008,Summit Entertainment,37000000,69637740,193962473,214467942,408430415,2 hr 2 min,PG-13
Sing 2,2021,Universal Pictures,December 2 2021 (EMEA),22326230,162790990,245611151,408402141,2 hr 2 min,PG-13
Signs,2002,Walt Disney Studios Motion Pictures,72000000,60117080,227966634,180281283,408247917,1 hr 46 min,PG-13
X2,2003,Twentieth Century Fox,110000000,85558731,214949694,192761855,407711549,2 hr 14 min,PG-13
Fantastic Beasts: The Secrets of Dumbledore,2022,Warner Bros.,April 6 2022 (Belgium),42151256,95850844,311300000,407150844,2 hr 14 min,PG-13
Uncharted,2022,Sony Pictures Entertainment (SPE),February 10 2022 (APAC EMEA),44010155,148648820,258492438,407141258,2 hr 14 min,PG-13
The Wolf of Wall Street,2013,Paramount Pictures,100000000,18361578,116900694,289977539,406878233,3 hr,R
Sonic the Hedgehog 2,2022,Paramount Pictures,March 25 2022 (Iceland),72105176,190872904,214548614,405421518,3 hr,R
Alita: Battle Angel,2019,Twentieth Century Fox,170000000,28525613,85838210,319142333,404980543,2 hr 2 min,PG-13
The Mummy: Tomb of the Dragon Emperor,2008,Universal Pictures,145000000,40457770,102491776,300958054,403449830,1 hr 52 min,PG-13
Prometheus,2012,Twentieth Century Fox,130000000,51050101,126477084,276877385,403354469,2 hr 4 min,R
Gone with the Wind,1939,Metro-Goldwyn-Mayer (MGM),130000000,December 15 1939 (Domestic),200882193,201500000,402382193,2 hr 4 min,R
Mamma Mia! Here We Go Again,2018,Universal Pictures,75000000,34952180,120634935,281629908,402264843,1 hr 54 min,PG-13
Eternals,2021,Walt Disney Studios Motion Pictures,November 3 2021 (EMEA APAC),71297219,164870234,237194665,402064899,1 hr 54 min,PG-13
Dune,2021,Warner Bros.,September 15 2021 (France),41011174,108327830,293700000,402027830,1 hr 54 min,PG-13
TRON: Legacy,2010,Walt Disney Studios Motion Pictures,170000000,44026211,172062763,228001089,400063852,2 hr 5 min,PG
Mission: Impossible III,2006,Paramount Pictures,150000000,47743273,134029801,264449696,398479497,2 hr 6 min,PG-13
Snow White and the Huntsman,2012,Universal Pictures,170000000,56217700,155332381,241260448,396592829,2 hr 7 min,PG-13
Grease,1978,Paramount Pictures,6000000,8941717,190071103,206200000,396271103,1 hr 50 min,PG
Toy Story,1995,Walt Disney Studios Motion Pictures,November 22 1995 (Domestic),29140617,223225679,171210907,394436586,1 hr 50 min,PG
Black Adam,2022,Warner Bros.,October 14 2022 (Iceland),67004323,168152111,225100000,393252111,1 hr 50 min,PG
Solo: A Star Wars Story,2018,Walt Disney Studios Motion Pictures,275000000,84420489,213767512,179157295,392924807,2 hr 15 min,PG-13
Superman Returns,2006,Warner Bros.,270000000,52535096,200081192,191000000,391081192,2 hr 34 min,PG-13
Meg 2: The Trench,2023,Warner Bros.,August 2 2023 (EMEA APAC),30002735,81893895,308900000,390793895,2 hr 34 min,PG-13
Robin Hood: Prince of Thieves,1991,Warner Bros.,48000000,25625602,165493908,225000000,390493908,2 hr 23 min,NA
Raiders of the Lost Ark,1981,Paramount Pictures,18000000,8305823,248159971,141766000,389925971,1 hr 55 min,PG
Independence Day: Resurgence,2016,Twentieth Century Fox,165000000,41039944,103144286,286537649,389681935,2 hr,PG-13
Live Free or Die Hard,2007,Twentieth Century Fox,110000000,33369559,134529403,253626608,388156011,2 hr 8 min,PG-13
Monster Hunt,2015,FilmRise,July 16 2015 (APAC China),21074,32766,387020740,387053506,2 hr 8 min,PG-13
Godzilla: King of the Monsters,2019,Warner Bros.,170000000,47776293,110500138,276100000,386600138,2 hr 12 min,PG-13
Home,2015,Twentieth Century Fox,135000000,52107731,177397510,208644097,386041607,1 hr 34 min,PG
Star Trek,2009,Paramount Pictures,150000000,75204289,257730019,127950427,385680446,2 hr 7 min,PG-13
1917,2019,Universal Pictures,95000000,576216,159227644,225351828,384579472,1 hr 59 min,R
Happy Feet,2006,Warner Bros.,100000000,41533432,198000317,186335791,384336108,1 hr 48 min,PG
Spider-Man: Into the Spider-Verse,2018,Sony Pictures Entertainment (SPE),90000000,35363376,190241310,194057426,384298736,1 hr 57 min,PG
Cars 3,2017,Walt Disney Studios Motion Pictures,June 15 2017 (13 markets),53688680,152901115,231029541,383930656,1 hr 57 min,PG
Back to the Future,1985,Universal Pictures,19000000,11152500,212836762,170500000,383336762,1 hr 56 min,NA
Ice Age,2002,Twentieth Century Fox,59000000,46312454,176387405,206869731,383257136,1 hr 21 min,PG
Indiana Jones and the Dial of Destiny,2023,Walt Disney Studios Motion Pictures,June 28 2023 (EMEA APAC),60368101,174480468,208410636,382891104,1 hr 21 min,PG
Your Name.,2016,FUNimation Entertainment,August 26 2016 (Japan),1813781,5017246,377220935,382238181,1 hr 21 min,PG
Fifty Shades Darker,2017,Universal Pictures,55000000,46607250,114581250,266964596,381545846,1 hr 58 min,R
Monsters vs. Aliens,2009,DreamWorks,175000000,59321095,198351526,183158344,381509870,1 hr 34 min,PG
Mad Max: Fury Road,2015,Warner Bros.,150000000,45428128,154280290,225800000,380080290,2 hr,R
Black Widow,2021,Walt Disney Studios Motion Pictures,July 7 2021 (EMEA),80366312,183651655,196100000,379751655,2 hr,R
Godzilla,1998,Sony Pictures Entertainment (SPE),130000000,44047541,136314294,242700000,379014294,2 hr 19 min,PG-13
True Lies,1994,Twentieth Century Fox,115000000,25869770,146282411,232600000,378882411,2 hr 21 min,R
Slumdog Millionaire,2008,Fox Searchlight,15000000,360018,141319928,237090614,378410542,2 hr,R
Once Upon a Time in Hollywood,2019,Sony Pictures Entertainment (SPE),90000000,41082018,142502728,235114870,377617598,2 hr 41 min,R
Taken 2,2012,Twentieth Century Fox,45000000,49514769,139854287,236298168,376152455,1 hr 32 min,PG-13
G.I. Joe: Retaliation,2013,Paramount Pictures,130000000,40501814,122523060,253217645,375740705,1 hr 50 min,PG-13
Shark Tale,2004,DreamWorks Distribution,75000000,47604606,160861908,213721971,374583879,1 hr 30 min,PG
What Women Want,2000,Paramount Pictures,70000000,33614543,182811707,191300000,374111707,2 hr 7 min,PG-13
The Adventures of Tintin,2011,Paramount Pictures,October 26 2011 (EMEA),9720993,77591831,296402120,373993951,2 hr 7 min,PG-13
Batman Begins,2005,Warner Bros.,150000000,48745440,206863479,166809514,373672993,2 hr 20 min,PG-13
Penguins of Madagascar,2014,Twentieth Century Fox,132000000,25447444,83850911,289664710,373515621,1 hr 32 min,PG
X-Men Origins: Wolverine,2009,Twentieth Century Fox,150000000,85058003,179883157,193179707,373062864,1 hr 47 min,PG-13
The Golden Compass,2007,New Line Cinema,180000000,26125000,70107728,302127136,372234864,1 hr 53 min,PG-13
Fifty Shades Freed,2018,Universal Pictures,55000000,38560195,100407760,271577258,371985018,1 hr 45 min,R
Hitch,2005,Sony Pictures Entertainment (SPE),70000000,43142214,179495555,192098655,371594210,1 hr 58 min,PG-13
Terminator Salvation,2009,Warner Bros.,200000000,42558390,125322469,246030532,371353001,1 hr 55 min,PG-13
Captain America: The First Avenger,2011,Paramount Pictures,140000000,65058524,176654505,193915269,370569774,2 hr 4 min,PG-13
Edge of Tomorrow,2014,Warner Bros.,178000000,28760246,100206256,270335000,370541256,1 hr 53 min,PG-13
There's Something About Mary,1998,Twentieth Century Fox,23000000,13740644,176484651,193400000,369884651,1 hr 59 min,R
Gone Girl,2014,Twentieth Century Fox,61000000,37513109,167767189,201563174,369330363,2 hr 29 min,R
The Fugitive,1993,Warner Bros.,August 6 1993 (Domestic),23758855,183875760,185000000,368875760,2 hr 29 min,R
Jurassic Park III,2001,Universal Pictures,93000000,50771645,181171875,187608934,368780809,1 hr 32 min,PG-13
My Big Fat Greek Wedding,2002,IFC Films,5000000,597362,241438208,127305836,368744044,1 hr 35 min,PG
Shazam!,2019,Warner Bros.,100000000,53505326,140480049,227318962,367799011,2 hr 12 min,PG-13
Hello Mr. Billionaire,2018,"July 27, 2018 (China)",100000000,1 hr 58 min,366961907,366961907,367799011,2 hr 12 min,PG-13
Die Hard with a Vengeance,1995,Twentieth Century Fox,90000000,22162245,100012499,266089167,366101666,2 hr 8 min,R
The Nun,2018,Warner Bros.,22000000,53807379,117481222,248101575,365582797,1 hr 36 min,R
Alvin and the Chipmunks,2007,Twentieth Century Fox,60000000,44307417,217326974,148025572,365352546,1 hr 32 min,PG
Tenet,2020,Warner Bros.,August 26 2020 (EMEA APAC),9353090,58504105,306800000,365304105,1 hr 32 min,PG
Notting Hill,1999,Universal Pictures,42000000,21811180,116089678,247800000,363889678,2 hr 4 min,PG-13
A Bug's Life,1998,Walt Disney Studios Motion Pictures,120000000,291121,162798565,200460294,363258859,1 hr 35 min,NA
Night at the Museum: Secret of the Tomb,2014,Twentieth Century Fox,127000000,17100520,113746621,249458014,363204635,1 hr 38 min,PG
Ocean's Twelve,2004,Warner Bros.,110000000,39153380,125544280,237200000,362744280,2 hr 5 min,PG-13
Planet of the Apes,2001,Twentieth Century Fox,100000000,68532960,180011740,182200000,362211740,2 hr,PG-13
The Hangover Part III,2013,Warner Bros.,103000000,41671198,112200072,249800000,362000072,1 hr 40 min,R
The World Is Not Enough,1999,Metro-Goldwyn-Mayer (MGM),135000000,35519007,126943684,234888716,361832400,2 hr 8 min,PG-13
Monster Hunt 2,2018,Lionsgate,February 15 2018 (APAC),341834,706153,360976465,361682618,2 hr 8 min,PG-13
Fast & Furious,2009,Universal Pictures,85000000,70950500,155064265,205302605,360366870,1 hr 47 min,PG-13
Noah,2014,Paramount Pictures,125000000,43720472,101200044,258000000,359200044,2 hr 18 min,PG-13
The Karate Kid,2010,Sony Pictures Entertainment (SPE),40000000,55665805,176591618,182534404,359126022,2 hr 20 min,PG
Home Alone 2: Lost in New York,1992,Twentieth Century Fox,November 20 1992 (Domestic),31126882,173585516,185409334,358994850,2 hr 20 min,PG
Hotel Transylvania,2012,Sony Pictures Entertainment (SPE),85000000,42522194,148313048,210062555,358375603,1 hr 31 min,PG
Minority Report,2002,Twentieth Century Fox,102000000,35677125,132072926,226300000,358372926,2 hr 25 min,PG-13
Top Gun,1986,Paramount Pictures,May 16 1986 (Domestic),8193052,180258178,177030000,357288178,2 hr 25 min,PG-13
Spirited Away,2001,Walt Disney Studios Motion Pictures,July 27 2001 (Japan),449839,15205725,342071675,357277400,2 hr 25 min,PG-13
The Legend of Tarzan,2016,Warner Bros.,180000000,38527856,126643061,230057296,356700357,1 hr 50 min,PG-13
American Beauty,1999,DreamWorks Distribution,15000000,861531,130096601,226200000,356296601,2 hr 2 min,R
Apollo 13,1995,Universal Pictures,June 30 1995 (Domestic),25353380,173837933,181077570,355237933,2 hr 2 min,R
Rain Man,1988,Metro-Goldwyn-Mayer (MGM),25000000,7005719,172825435,182000000,354825435,2 hr 13 min,NA
The Great Gatsby,2013,Warner Bros.,105000000,50085185,144857996,208801855,353659851,2 hr 23 min,PG-13
Dumbo,2019,Walt Disney Studios Motion Pictures,170000000,45990748,114766307,238518314,353284621,1 hr 52 min,PG
"I, Robot",2004,Twentieth Century Fox,120000000,52179887,144801023,208332875,353133898,1 hr 55 min,PG-13
Basic Instinct,1992,TriStar Pictures,49000000,15129385,117727224,235200000,352927224,2 hr 7 min,R
Murder on the Orient Express,2017,Twentieth Century Fox,55000000,28681472,102826543,249967538,352794081,1 hr 54 min,PG-13
X-Men: First Class,2011,Twentieth Century Fox,160000000,55101604,146408305,206208385,352616690,2 hr 11 min,PG-13
The Angry Birds Movie,2016,Sony Pictures Entertainment (SPE),73000000,38155177,107509366,244824563,352333929,1 hr 37 min,PG
GoldenEye,1995,Metro-Goldwyn-Mayer (MGM),November 17 1995 (Domestic),26205007,106429941,245764093,352194034,1 hr 37 min,PG
Catch Me If You Can,2002,DreamWorks Distribution,52000000,30053627,164615351,187498961,352114312,2 hr 21 min,PG-13
Now You See Me,2013,Lionsgate,75000000,29350389,117723989,234000000,351723989,1 hr 55 min,PG-13
Hannibal,2001,Metro-Goldwyn-Mayer (MGM),87000000,58003121,165092268,186600000,351692268,2 hr 11 min,R
The Mask,1994,New Line Cinema,23000000,23117068,119938730,231644677,351583407,1 hr 41 min,PG-13
Peter Rabbit,2018,Sony Pictures Entertainment (SPE),50000000,25010928,115253424,236242642,351496066,1 hr 35 min,PG
Speed,1994,Twentieth Century Fox,30000000,14456194,121248145,229200000,350448145,1 hr 56 min,R
Dinosaur,2000,Walt Disney Studios Motion Pictures,127500000,38854851,137748063,212074702,349822765,1 hr 22 min,PG
Mary Poppins Returns,2018,Walt Disney Studios Motion Pictures,130000000,23523121,171958438,177587704,349546142,2 hr 10 min,PG
Deep Impact,1998,Paramount Pictures,May 8 1998 (Domestic),41152375,140464664,209000000,349464664,2 hr 10 min,PG
The Lorax,2012,Universal Pictures,70000000,70217070,214373500,134809816,349183316,1 hr 26 min,PG
The Maze Runner,2014,Twentieth Century Fox,34000000,32512804,102427862,245891999,348319861,1 hr 53 min,PG-13
The Smurfs 2,2013,Sony Pictures Entertainment (SPE),105000000,17548389,71017784,276527576,347545360,1 hr 45 min,PG
National Treasure,2004,Walt Disney Studios Motion Pictures,100000000,35142554,173008894,174503424,347512318,2 hr 11 min,PG
Rush Hour 2,2001,New Line Cinema,90000000,67408222,226164286,121161516,347325802,1 hr 30 min,PG-13
Trolls,2016,Twentieth Century Fox,125000000,46581142,154025064,193157822,347182886,1 hr 32 min,PG
xXx: Return of Xander Cage,2017,Paramount Pictures,85000000,20130142,44898413,301219864,346118277,1 hr 47 min,PG-13
Pocahontas,1995,Walt Disney Studios Motion Pictures,June 16 1995 (Domestic),2689714,141579773,204500000,346079773,1 hr 47 min,PG-13
How the Grinch Stole Christmas,2000,Universal Pictures,123000000,55082330,260715005,85108027,345823032,1 hr 44 min,PG
Star Trek Beyond,2016,Paramount Pictures,185000000,59253211,158848340,184623476,343471816,2 hr 2 min,PG-13
Alvin and the Chipmunks: Chipwrecked,2011,Twentieth Century Fox,75000000,23244744,133110742,209584693,342695435,1 hr 27 min,G
Wanted,2008,Universal Pictures,75000000,50927085,134508551,207954512,342463063,1 hr 50 min,R
The Flintstones,1994,Universal Pictures,46000000,29688730,130531208,211100000,341631208,1 hr 31 min,PG
A Quiet Place,2018,Paramount Pictures,17000000,50203562,188024361,152928610,340952971,1 hr 30 min,PG-13
Enchanted,2007,Walt Disney Studios Motion Pictures,85000000,34440317,127807262,212680600,340487862,1 hr 47 min,PG
Over the Hedge,2006,DreamWorks,May 19 2006 (Domestic APAC),38457003,155019340,184776550,339795890,1 hr 47 min,PG
300: Rise of an Empire,2014,Warner Bros.,110000000,45038460,106580051,231000000,337580051,1 hr 42 min,R
Batman Forever,1995,Warner Bros.,100000000,52784433,184069126,152498032,336567158,2 hr 1 min,PG-13
Prince of Persia: The Sands of Time,2010,Walt Disney Studios Motion Pictures,200000000,30095259,90759676,245606000,336365676,1 hr 56 min,PG-13
The Curious Case of Benjamin Button,2008,Paramount Pictures,150000000,26853816,127509326,208293460,335802786,2 hr 46 min,PG-13
Journey 2: The Mysterious Island,2012,Warner Bros.,79000000,27335363,103887748,231400000,335287748,1 hr 34 min,PG
The Rock,1996,Walt Disney Studios Motion Pictures,75000000,25069525,134069511,200993110,335062621,2 hr 16 min,R
The Great Wall,2016,Universal Pictures,150000000,18469620,45540830,289393001,334933831,1 hr 43 min,PG-13
Now You See Me 2,2016,Lionsgate,June 2 2016 (Australia),22383146,65075540,269822066,334897606,1 hr 43 min,PG-13
Never Say Die,2017,"September 29, 2017 (United Kingdom)",June 2 2016 (Australia),1 hr 40 min,334530869,334530869,334897606,1 hr 43 min,PG-13
Bridget Jones's Diary,2001,Miramax,25000000,10733933,71543427,262729136,334272563,1 hr 37 min,R
Fantastic Four,2005,Twentieth Century Fox,100000000,56061504,154696080,178839854,333535934,1 hr 46 min,PG-13
Indiana Jones and the Temple of Doom,1984,Paramount Pictures,28000000,25337110,179870271,153237000,333107271,1 hr 58 min,NA
Tomorrow Never Dies,1997,Metro-Goldwyn-Mayer (MGM),December 19 1997 (Domestic),25143007,125304276,207706792,333011068,1 hr 58 min,NA
Back to the Future Part II,1989,Universal Pictures,40000000,27835125,119000002,213500000,332500002,1 hr 48 min,NA
The Good Dinosaur,2015,Walt Disney Studios Motion Pictures,November 25 2015 (7 markets),39155217,123087120,209120551,332207671,1 hr 48 min,NA
Free Guy,2021,20th Century Studios,August 11 2021 (EMEA APAC),28365416,121626598,209900000,331526598,1 hr 48 min,NA
22 Jump Street,2014,Sony Pictures Entertainment (SPE),50000000,57071445,191719337,139614539,331333876,1 hr 52 min,R
Meet the Parents,2000,Universal Pictures,55000000,28623300,166244045,164200000,330444045,1 hr 48 min,PG-13
Who Framed Roger Rabbit,1988,Walt Disney Studios Motion Pictures,70000000,11226239,156452370,173351588,329803958,1 hr 44 min,NA
Black Swan,2010,Fox Searchlight,13000000,1443809,106954678,222443368,329398046,1 hr 48 min,R
The Perfect Storm,2000,Warner Bros.,140000000,41325042,182618434,146100000,328718434,2 hr 10 min,PG-13
John Wick: Chapter 3 - Parabellum,2019,Lionsgate,75000000,56818067,171015687,157333700,328349387,2 hr 10 min,R
Crocodile Dundee,1986,Paramount Pictures,September 26 1986 (Domestic),8038855,174803506,153400000,328203506,2 hr 10 min,R
Crazy Alien,2019,"February 5, 2019 (China)",September 26 1986 (Domestic),1 hr 56 min,327598891,327598891,328203506,2 hr 10 min,R
Se7en,1995,New Line Cinema,33000000,13949807,100125643,227207916,327333559,2 hr 7 min,R
The Devil Wears Prada,2006,Twentieth Century Fox,35000000,27537244,124740460,201965655,326706115,1 hr 49 min,PG-13
Taken 3,2014,Twentieth Century Fox,48000000,39201657,89256424,237222717,326479141,1 hr 48 min,PG-13
The Hunchback of Notre Dame,1996,Walt Disney Studios Motion Pictures,100000000,21037414,100138851,225200000,325338851,1 hr 31 min,NA
A Christmas Carol,2009,Walt Disney Studios Motion Pictures,200000000,30051075,137855863,187430783,325286646,1 hr 36 min,PG
The SpongeBob Movie: Sponge Out of Water,2015,Paramount Pictures,74000000,55365012,162994032,162192000,325186032,1 hr 32 min,PG
Schindler's List,1993,Universal Pictures,22000000,656636,96898818,225262427,322161245,3 hr 15 min,R
Megamind,2010,DreamWorks,130000000,46016833,148415853,173469912,321885765,1 hr 35 min,PG
The Conjuring 2,2016,Warner Bros.,40000000,40406314,102516140,219318211,321834351,2 hr 14 min,R
Green Book,2018,Universal Pictures,23000000,320429,85080171,236672485,321752656,2 hr 10 min,PG-13
Lethal Weapon 3,1992,Warner Bros.,35000000,33243086,144731527,177000000,321731527,1 hr 58 min,R
Robin Hood,2010,Universal Pictures,200000000,36063385,105269730,216400011,321669741,2 hr 20 min,PG-13
Inglourious Basterds,2009,The Weinstein Company,70000000,38054676,120540719,200917028,321457747,2 hr 33 min,R
101 Dalmatians,1996,Walt Disney Studios Motion Pictures,November 27 1996 (Domestic),33504025,136189294,184500000,320689294,2 hr 33 min,R
The Conjuring,2013,Warner Bros.,20000000,41855326,137446368,182959874,320406242,1 hr 52 min,R
Fatal Attraction,1987,Paramount Pictures,September 18 1987 (Domestic),7602740,156645693,163500000,320145693,1 hr 52 min,R
Sonic the Hedgehog,2020,Paramount Pictures,85000000,58018348,148974665,170741018,319715683,1 hr 39 min,PG
The Last Airbender,2010,Paramount Pictures,150000000,40325019,131772187,187941694,319713881,1 hr 43 min,PG
The Proposal,2009,Walt Disney Studios Motion Pictures,40000000,33627598,163958031,153417000,317375031,1 hr 48 min,PG-13
The Polar Express,2004,Warner Bros.,165000000,23323463,189528738,127369049,316897787,1 hr 40 min,NA
A Beautiful Mind,2001,Universal Pictures,58000000,367151,170742341,146048916,316791257,2 hr 15 min,PG-13
Beverly Hills Cop,1984,Paramount Pictures,December 5 1984 (Domestic),15214805,234760478,81600000,316360478,2 hr 15 min,PG-13
Air Force One,1997,Sony Pictures Entertainment (SPE),85000000,37132505,172956409,142200000,315156409,2 hr 4 min,R
Wonder,2017,Lionsgate,October 17 2017 (Lithuania),27547866,132422809,182603121,315025930,2 hr 4 min,R
The Expendables 2,2012,Lionsgate,100000000,28591370,85028192,229947763,314975955,1 hr 43 min,R
Chicken Little,2005,Walt Disney Studios Motion Pictures,150000000,40049778,135386665,179046172,314432837,1 hr 21 min,G
As Good as It Gets,1997,Sony Pictures Entertainment (SPE),50000000,12606928,148478011,165700000,314178011,2 hr 19 min,PG-13
Austin Powers: The Spy Who Shagged Me,1999,New Line Cinema,33000000,54917604,206040086,107661208,313701294,1 hr 35 min,PG-13
Knives Out,2019,Lionsgate,40000000,26769548,165363234,147534686,312897920,2 hr 10 min,PG-13
Maze Runner: The Scorch Trials,2015,Twentieth Century Fox,61000000,30316510,81697192,230598864,312296056,2 hr 11 min,PG-13
Resident Evil: The Final Chapter,2016,Screen Gems,40000000,13601682,26830068,285412558,312242626,1 hr 47 min,R
The Lego Batman Movie,2017,Warner Bros.,80000000,53003468,175936671,136200000,312136671,1 hr 44 min,PG
Ocean's Thirteen,2007,Warner Bros.,June 6 2007 (EMEA APAC),36133403,117154724,194157900,311312624,1 hr 44 min,PG
Little Fockers,2010,Universal Pictures,100000000,30833665,148438600,162211985,310650585,1 hr 38 min,PG-13
Bolt,2008,Walt Disney Studios Motion Pictures,150000000,26223128,114053579,195926415,309979994,1 hr 36 min,PG
Ransom,1996,Walt Disney Studios Motion Pictures,November 8 1996 (Domestic),34216088,136492681,173000000,309492681,1 hr 36 min,PG
Runaway Bride,1999,Paramount Pictures,70000000,35055556,152257509,157202783,309460292,1 hr 56 min,PG
The Blind Side,2009,Warner Bros.,29000000,34119372,255982860,53248834,309231694,2 hr 9 min,PG-13
The Ex-File 3: Return of the Exes,2017,China Lion Film Distribution,December 28 2017 (APAC),125291,838959,306753468,307592427,2 hr 9 min,PG-13
The Fault in Our Stars,2014,Twentieth Century Fox,12000000,48002523,124872350,182294484,307166834,2 hr 6 min,PG-13
The Pursuit of Happyness,2006,Sony Pictures Entertainment (SPE),55000000,26541709,163566459,143561166,307127625,1 hr 57 min,PG-13
Rise of the Guardians,2012,DreamWorks,145000000,23773465,103412758,203528912,306941670,1 hr 37 min,PG
Close Encounters of the Third Kind,1977,Columbia Pictures,November 16 1977 (Domestic),20000000,135189114,171700000,306889114,1 hr 37 min,PG
Chicago,2002,Miramax,45000000,2074929,170687518,136089214,306776732,1 hr 53 min,PG-13
Annabelle: Creation,2017,Warner Bros.,15000000,35006404,102092201,204423683,306515884,1 hr 49 min,R
Bridesmaids,2011,Universal Pictures,32500000,26247410,169106725,137335360,306442085,2 hr 5 min,R
Skyscraper,2018,Universal Pictures,125000000,24905015,68420120,236448841,304868961,1 hr 42 min,PG-13
